,l3.1,l3.2,l11.1,l11.2
ABLIM2,1.54956,0.788121,0.67165,0.561842
ABLIM3,0.20052,0.124483,0.101577,0.272629
ABO,0.295886,0.0356894,0.131182,0.0256494
ABR,15.7436,17.8829,25.1293,20.4984
ABRA,0,0.0217435,0,0.0286695
ABRACL,86.5808,91.5709,98.1834,93.467
ABR-AS1,0.699713,0,0,0
ABRAXAS1,6.50663,6.35331,7.62514,10.5696
ABRAXAS2,17.9334,18.8732,20.2338,16.7829
ABT1,37.976,37.5911,36.9386,38.3325
ABT1P1,0,0,0,0
ABTB1,2.84986,3.86114,4.33163,2.84128
ABTB2,3.84398,5.35091,4.49945,4.45573
ACAA1,30.8124,29.9989,33.4074,34.9685
ACAA2,40.012,41.7074,38.3914,38.8532
ACACA,18.9918,15.9147,23.5415,21.442
ACACB,4.49533,4.02534,6.23395,5.21575
ACAD10,10.1253,11.7712,11.495,12.7372
ACAD11,37.8372,36.022,57.6597,57.0299
ACAD8,16.1533,16.2815,17.647,19.2251
ACAD9,25.404,27.0147,30.0174,33.3646
ACADL,1.51806,1.2829,1.48025,1.45101
ACADM,64.7353,71.8926,75.5839,75.5007
ACADS,5.95475,6.05703,7.08639,6.48855
ACADSB,12.4245,11.6818,16.7609,18.3645
ACADVL,139.79,130.288,169.124,184.902
ACAN,0.105626,0.0333622,0.0339052,0
ACAP1,1.16802,1.57468,2.86575,1.27356
ACAP2,8.04085,8.25971,7.32434,8.34405
ACAP2-IT1,1.05739,0.535107,0.514222,0.860283
ACAP3,31.9478,24.2951,28.867,35.4738
ACAT1,90.6186,95.1133,103.092,104.855
ACAT2,80.3129,73.4861,68.6421,67.5386
ACBD3,37.0457,39.5159,41.3152,39.5044
ACBD3-AS1,0,0,0,0
ACBD4,6.06139,5.33668,5.28051,8.41792
ACBD5,7.89084,6.99513,7.23134,9.52746
ACBD6,59.4642,58.9173,61.5944,69.4777
ACBD7,2.95162,2.8897,3.21121,3.29315
ACCS,9.03762,7.45564,12.1874,7.33247
ACCSL,0,0,0,0.0453248
ACD,26.0788,25.7266,24.6997,22.2898
ACE2,0.299035,0.139872,1.95366,1.59981
ACE,2.49838,2.16727,0.27581,0.204064
ACE3P,0,0,0,0
ACER1,0,0,0.107106,0
ACER2,1.20644,1.63515,1.97243,1.62222
ACER2P1,0,0,0,0
ACER3,7.11271,6.99781,8.1512,8.54686
ACHE,5.24249,4.85575,4.49574,4.39931
ACIN1,173.561,170.766,173.128,189.426
ACKR1,0.0355172,0,0,0
ACKR2,0.404943,0.275574,0.483974,0.160251
ACKR3,0.112558,0.102454,0.0731535,0
ACKR4,0,0,0,0
ACKR4P1,0,0,0,0
ACLY,104.029,103.255,115.541,115.731
ACMSD,0,0,0,0
ACNATP,0,0,0,0
ACO1,12.107,11.84,13.752,12.5182
ACO2,48.6118,49.8342,52.9189,51.6445
ACOT11,0.985999,0.9039,0.933263,0.67002
ACOT12,0,0.028868,0,0.0386867
ACOT1,34.1799,3.28423,2.82148,3.03438
ACOT13,3.90569,30.5465,28.5288,28.2919
ACOT2,14.6241,17.286,15.1347,13.2981
ACOT4,0,0,0,0
ACOT6,0.0875,0,0,0
ACOT7,56.3332,54.182,62.7811,62.2764
ACOT8,15.9813,14.6117,19.7316,15.6319
ACOT9,21.5258,19.3071,22.9894,23.4208
ACOX1,7.797,6.60126,7.49173,11.1411
ACOX2,0.164367,0.910474,0.0745321,0.455332
ACOX3,4.96304,5.12803,4.54972,6.66743
ACOXL,0.260853,0.0686078,0.449073,0.137771
ACOXL-AS1,0.0457843,0.122089,0.0502316,0.0550761
ACP1,113.234,109.101,118.852,108.112
ACP2,19.0972,18.5888,15.2608,18.7096
ACP3,0.383808,0.294346,0.203208,0.544935
ACP4,0,0,0,0
ACP5,0.028496,0,0.0312593,0
ACP6,26.4394,26.2395,33.2329,27.113
ACP7,0.0287618,0.081372,0.0890439,0.0346443
ACR,0.233105,0.0439522,0.124318,0
ACRBP,0.740199,1.08265,0.200753,1.0928
ACRP1,0,0,0,0
ACRV1,0,0,0,0
ACSBG1,0.362816,0.34074,0.73298,0.674036
ACSBG2,0,0,0,0
ACSF2,12.8932,11.0964,12.3952,15.8151
ACSF3,19.6508,22.1529,17.4254,21.4954
ACSL1,10.0746,11.1363,13.716,13.2627
ACSL3,42.2525,36.5143,41.3152,43.6668
ACSL3-AS1,0,0,0,0
ACSL4,15.3936,14.0683,17.2578,16.7097
ACSL5,0,0,0,0
ACSL6,0.612835,1.00174,0.590218,0.938295
ACSM1,0.0368538,0,0.0482157,0.256894
ACSM2A,0.00160513,0.188487,0.000227258,0
ACSM2B,0.0788248,0.0236539,0.288759,0.483201
ACSM3,2.63644,2.02374,2.9707,1.95373
ACSM4,0,0,0,0
ACSM5,0,0,0,0
ACSM5P1,0,0,0,0
ACSM6,0.028802,0,0,0.0636603
ACSS1,5.47541,5.76548,6.77167,6.82183
ACSS2,12.1331,8.08847,6.11362,10.111
ACSS3,1.31637,1.70264,1.47747,2.21391
ACTA1,1.69074,1.38321,1.63238,2.04174
ACTA2,19.188,17.5993,20.3677,20.2823
ACTA2-AS1,0.107998,0.14242,0.0296189,0.0649983
ACTB,1290.5,1284.25,1117.48,1041.18
ACTBL2,0,0,0,0.0282318
ACTBP1,0,0,0,0
ACTBP11,0,0,0.0703517,0
ACTBP12,0,0,0,0
ACTBP14,0,0,0,0
ACTBP15,0,0,0,0
ACTBP2,0,0,0,0
ACTBP4,0,0,0.149393,0.165126
ACTBP6,0,0,0,0
ACTBP7,0,0.290588,0.0705024,0.233607
ACTBP8,0,0,0,0
ACTBP9,0,0,0,0.0799802
ACTC1,0.050692,0.228505,0.143232,0.160094
ACTE1P,0,0.0833022,0.227528,0
ACTG1,1162.16,1193.36,1158.7,1131.09
ACTG1P10,0,0,0,0
ACTG1P1,0.38397,0,0.210399,0
ACTG1P11,0,0,0,0
ACTG1P12,0.12326,0,0,0
ACTG1P13,0,0,0,0
ACTG1P14,0.193389,0.11648,0.211936,0.0780394
ACTG1P15,0.0686981,0,0,0.0832132
ACTG1P16,0,0,0,0.0814717
ACTG1P17,2.86518,1.59631,0.897506,2.17371
ACTG1P18,0,0,0,0
ACTG1P19,0,0,0,0
ACTG1P2,0,0,0,0
ACTG1P20,2.23291,1.68309,2.21646,2.00305
ACTG1P21,0,0,0,0
ACTG1P22,0,0,0,0
ACTG1P23,0,0,0,0
ACTG1P24,0.34656,0.392766,0.569351,0.21047
ACTG1P25,0.355361,1.02845,0.467245,1.03344
ACTG1P3,0.390039,0,0.356198,0.472186
ACTG1P4,0.0420617,0,0,0.156072
ACTG1P9,0.133894,0.0666595,0.0271494,0.119114
ACTG2,0,0.0445555,0.0541957,0.0597035
ACTL10,0,0,0,0
ACTL11P,0,0,0.0178439,0.0391047
ACTL6A,36.0425,42.5552,41.9936,44.2059
ACTL6B,0.53549,0.449796,0.348423,0.28711
ACTL7A,0,0,0,0
ACTL7B,0,0.0450649,0,0.181158
ACTL8,0.122976,0.110695,0.0899035,0.399358
ACTL9,0,0,0,0
ACTN1,32.0337,33.1853,38.4369,38.3034
ACTN1-DT,0,0,0,0.347995
ACTN2,3.97288,4.7032,5.34433,5.59647
ACTN3,0.0422709,0.0611422,0.149475,0
ACTN4,88.7149,87.9874,102.309,105.328
ACTN4P1,0,0,0,0
ACTN4P2,0,0,0,0
ACTP1,0,0,0,0
ACTR10,37.0567,42.4563,39.748,39.29
ACTR1A,90.2436,91.5871,92.264,93.8067
ACTR1AP1,0,0,0,0
ACTR1B,28.3025,28.5146,30.8033,29.2812
ACTR2,120.737,119.628,138.177,133.793
ACTR3,103.715,104.543,102.429,111.594
ACTR3-AS1,1.06284,1.92937,0.968777,0.201031
ACTR3B,15.8814,16.6934,17.2926,17.5207
ACTR3BP1,0,0,0,0
ACTR3BP4,0,0,0,0
ACTR3BP6,0,0,0,0
ACTR3C,1.45505,1.0355,1.14864,3.38993
ACTR3P2,0,0,0,0
ACTR3P3,0,0,0,0
ACTR5,7.51103,7.16364,7.13182,6.82636
ACTR6,25.1664,28.3997,34.7167,29.0984
ACTR6P1,0,0,0,0
ACTR8,19.8648,20.0109,22.493,27.3601
ACTRT1P1,0,0,0,0
ACTRT3,1.3928,2.32305,1.34766,1.68003
ACVR1,4.61248,4.13651,5.37644,4.91287
ACVR1B,11.414,10.2722,14.5365,12.1492
ACVR1C,0.142025,0.165315,0.247953,0.321211
ACVR2A,4.48397,4.9407,5.90737,6.4894
ACVR2B,6.46472,5.27039,5.8428,5.84162
ACVR2B-AS1,1.5476,1.0836,1.17981,1.10494
ACVRL1,0.35931,0.167449,0.137926,0.183276
ACY1,33.3209,21.9189,20.582,22.154
ACY3,0,0,0,0
ACYP1,34.798,41.5078,39.536,40.0981
ACYP2,6.13613,5.87914,5.38635,5.57291
ADA2,14.6525,12.6121,13.4675,15.7543
ADA,0.0916547,0,0.0415552,0.132092
ADAD1,0,0,0,0
ADAD2,0.0665877,0.0466154,0,0.0312364
ADAL,7.75414,10.0363,7.67914,11.1272
ADAM10,22.1887,23.0506,28.6593,27.1538
ADAM11,9.51448,8.07391,8.69003,9.35327
ADAM12,0.0952313,0.0351638,0.0522625,0.0762014
ADAM15,49.8986,54.5913,57.5521,56.3346
ADAM17,11.8354,12.1742,14.9654,15.0437
ADAM18,0,0,0,0
ADAM19,1.13703,1.34746,1.32747,1.45419
ADAM1A,0.460737,0.40949,0,0
ADAM1B,0,0,0,0
ADAM20,0,0,0.0258425,0.0566757
ADAM20P1,0.269117,0.356175,0.250536,0.206232
ADAM21,0.124284,0.111589,0.11297,0.0299101
ADAM21P1,0,0,0,0
ADAM22,5.34263,4.38181,5.86229,5.03767
ADAM23,6.38319,7.18636,9.26452,8.8943
ADAM24P,0,0,0,0
ADAM28,0.0182249,0,0,0.0108056
ADAM29,0,0.0263331,0,0
ADAM30,0,0,0,0
ADAM32,0.225277,0.723193,0.253023,0.396733
ADAM33,0.112529,0.0758421,0.124314,0.0338682
ADAM3A,0,0,0,0
ADAM3B,0,0,0,0
ADAM5,0,0,0,0
ADAM7,0,0,0,0
ADAM8,3.29618,1.37833,1.8865,1.34614
ADAM9,26.9414,27.1019,31.4281,30.7011
ADAMDEC1,0,0,0.0385109,0
ADAMTS10,2.64676,1.91932,2.63434,4.41295
ADAMTS12,0.0138423,0.0124071,0,0
ADAMTS1,21.6415,23.0836,29.9909,30.653
ADAMTS13,9.36347,9.53412,12.2478,12.905
ADAMTS14,0.0483504,0.0433254,0.0530625,0.087103
ADAMTS15,0.359123,0.444735,0.486877,0.456572
ADAMTS16,0,0,0,0
ADAMTS16-DT,0.0330458,0.0194314,0,0.0520878
ADAMTS17,5.86986,4.04106,5.56458,5.47191
ADAMTS18,0.150758,0.0195035,0.0358381,0.0653514
ADAMTS19,3.55319,1.92664,3.06067,1.82642
ADAMTS19-AS1,1.03559,1.79788,1.23256,1.1052
ADAMTS20,0.438001,0.5361,0.85925,0.781278
ADAMTS2,2.99159,2.89911,3.17174,3.01586
ADAMTS3,2.68324,1.89101,3.24436,2.49798
ADAMTS4,0.151292,0.0617758,0.360243,0.228249
ADAMTS5,0.179973,0.112992,0.118488,0.151437
ADAMTS6,0.900148,0.349047,0.467614,0.748791
ADAMTS7,1.01392,0.905278,2.46542,2.00231
ADAMTS7P1,0.0133308,0,0,0
ADAMTS7P3,0.0354679,0.0176426,0,0
ADAMTS7P4,0,0,0.0208963,0.34898
ADAMTS8,0.195969,0.159782,0.259661,0.178152
ADAMTS9,2.30983,2.40245,2.1168,2.37558
ADAMTS9-AS1,0,0,0,0
ADAMTS9-AS2,0.151123,0.0156919,0.0767979,0.476028
ADAMTSL1,0.0858655,0.0299269,0.0936218,0.181092
ADAMTSL2,0,0,0.0190162,0
ADAMTSL3,0.333246,0.457203,0.485095,0.400481
ADAMTSL4,0.263646,0.648525,0.495313,0.704088
ADAMTSL4-AS1,0.191575,0.158613,0.309495,0.0850227
ADAMTSL4-AS2,0.370071,0.674812,0.134959,0.753331
ADAMTSL5,2.35868,2.88744,2.03116,2.12799
ADAP1,10.6238,9.80554,14.3774,14.0187
ADAP2,5.03988,8.45498,4.07241,4.49794
ADAR,52.9791,54.7625,58.9392,60.5182
ADARB1,8.57632,8.41412,11.8833,11.9644
ADARB2,0.0614181,0.129916,0.0245787,0
ADARB2-AS1,0,0,0,0
ADAT1,13.0172,12.5152,13.2892,10.6559
ADAT2,23.2152,17.8252,24.8388,23.6529
ADAT3,17.3679,16.8447,10.7523,10.0128
ADCK1,9.88295,8.68552,11.5873,11.0486
ADCK2,17.4403,17.4546,16.189,17.115
ADCK5,3.91736,3.10682,3.13352,3.94342
ADCY10,0.862782,0.348306,0.143865,0.759141
ADCY10P1,2.55603,1.63883,2.00644,1.40164
ADCY1,3.84056,3.8704,4.27424,3.57227
ADCY2,0.0961979,0.397638,0.42111,0.127117
ADCY3,32.5652,27.4032,39.0842,33.4839
ADCY4,0.0434668,0.0195095,0.0237924,0.0521629
ADCY5,0.341895,0.885119,0.818131,0.721982
ADCY6,8.60349,8.67034,9.23123,8.96112
ADCY6-DT,1.59744,1.60074,0.680766,0.830743
ADCY7,2.46183,1.21716,3.2714,2.52168
ADCY8,0,0,0.177128,0
ADCY9,5.48546,4.79174,6.2767,8.87134
ADCYAP1,0,0,0,0
ADCYAP1R1,0.894624,1.0554,1.7615,1.255
ADD1,45.8865,47.3305,49.0052,53.6703
ADD2,19.0122,15.73,18.02,19.0503
ADD3,33.5261,34.5492,37.9886,52.5327
ADD3-AS1,0.269917,0.454226,0.135016,0.359462
ADGB,0.0749929,0.0926083,0.0431537,0.0358049
ADGRA1,0.0301024,0,0.0206828,0.0226613
ADGRA1-AS1,0.0290734,0,0.0637843,0
ADGRA2,3.80605,3.0162,3.5526,3.79108
ADGRA3,8.72537,9.61115,9.97671,9.17508
ADGRB1,1.76892,1.91224,1.60355,2.9805
ADGRB2,7.2034,7.14346,10.7183,8.44528
ADGRB3,1.05066,0.941753,0.937772,1.03134
ADGRB3-DT,1.38775,2.43113,1.04169,1.13691
ADGRD1,0.0267465,0.49008,0.210702,0.293863
ADGRD1-AS1,0,0,0,0
ADGRD2,0.34501,0.0284419,0.260507,0.671615
ADGRE1,0.146774,0.153738,0.0281772,0
ADGRE2,0.231371,0.269301,0.0554316,0.0590567
ADGRE3,0,0,0,0
ADGRE4P,0,0.021092,0,0
ADGRE5,6.62715,6.07226,9.19469,7.89335
ADGRF1,0.064598,0.0205937,0.0156979,0.0275996
ADGRF2,0.0314443,0,0,0
ADGRF3,1.15192,0.650545,0.757493,0.0965227
ADGRF4,0.0636155,0,0,0.0765072
ADGRF5,0,0,0.0123041,0
ADGRF5P1,0.558567,0.764113,0.623738,0.183568
ADGRF5P2,0,0.0371718,0,0
ADGRG1,1.06349,1.04073,0.427985,0.26784
ADGRG2,0.599271,0.67675,0.81402,0.729502
ADGRG3,0,0.0530345,0.125292,0
ADGRG4,0,0.00627296,0.00768992,0
ADGRG5,0,0,0,0.0233997
ADGRG6,1.80204,1.28899,1.70744,1.1992
ADGRG7,0,0,0,0
ADGRL1,27.1121,21.2254,29.0745,29.204
ADGRL1-AS1,0.748736,0.479496,1.07872,0.380713
ADGRL2,24.8179,25.5052,26.3126,25.6399
ADGRL3,4.16619,3.41422,3.3502,3.86436
ADGRL3-AS1,0,0,0,0
ADGRL4,0,0,0,0.0352735
ADGRV1,3.14349,3.40184,3.97849,3.56205
ADH1A,0,0,0,0
ADH1B,0.0158406,0,0,0
ADH1C,0,0,0,0
ADH4,0.0335838,0,0,0
ADH5,75.113,73.4445,79.7522,73.6104
ADH5P2,0,0,0,0
ADH5P3,0.0634684,0,0.0696886,0
ADH5P4,0,0,0.0718209,0
ADH5P5,0,0,0,0
ADH6,0,0,0.162449,0.182092
ADH7,0,0,0,0
ADHFE1,1.2443,1.41429,1.77039,2.29196
ADI1,48.7083,47.5907,41.0194,41.2805
ADI1P1,0.165238,0,0,0
ADI1P2,0,0,0,0
ADIG,0,0,0.136868,0
ADIPOQ,0.0284257,0.0134125,0.0154751,0
ADIPOQ-AS1,0.0188208,0.0168855,0.103374,0
ADIPOR1,91.3511,96.0148,95.465,90.252
ADIPOR1P1,0,0,0,0
ADIPOR1P2,0,0,0,0
ADIPOR2,31.9725,32.4796,32.1199,35.1278
ADIRF,0,0.243795,0,0
ADIRF-AS1,0.115785,0.0224999,0,0.0931181
ADK,30.2766,29.676,39.389,34.0619
ADM2,11.7572,12.88,12.3021,12.4102
ADM,0.225643,0.219232,0.167266,0.213348
ADM5,8.81234,5.03675,6.50438,6.14516
ADM-DT,0.0966875,0.351181,0,0.352857
ADNP2,10.7441,10.4467,23.7464,10.7964
ADNP,27.0017,25.7189,25.8743,25.9125
ADNP-AS1,0.359502,0.908367,0.326513,0.361308
ADO,12.0815,11.6348,12.2967,11.9633
ADORA1,1.9471,1.49439,0.864472,1.72613
ADORA2A,4.7439,2.48788,3.7141,5.52696
ADORA2A-AS1,0.0515837,0,0,0.0709869
ADORA2B,7.78382,7.00408,8.25234,8.50075
ADORA2BP1,0,0,0,0
ADORA3,0,0,0,0
ADPGK,34.9568,35.0146,38.0608,35.8344
ADPGK-AS1,0.194878,0.174962,0.0843428,0.0608489
ADPRH,0.10282,0.0640053,0.281802,0.171565
ADPRHL1,3.14037,5.28399,3.48945,4.18737
ADPRM,3.69078,4.19269,3.55847,3.99385
ADPRS,26.2797,24.629,25.9952,24.3899
ADRA1A,0,0,0.0395221,0.0385925
ADRA1B,0.0790274,0.351822,0.208794,0.158525
ADRA1D,0,0,0,0
ADRA2A,0,0.0595822,0,0.0598914
ADRA2B,0.0698892,0.0940177,0.153378,0.0420023
ADRA2C,9.20277,10.2141,8.86536,8.46964
ADRB1,0.344164,0.366009,0.18842,0.283992
ADRB2,0.300455,0.240114,0.219698,0.522894
ADRB3,0,0,0,0
ADRM1,110.638,110.562,109.094,114.974
ADSL,107.942,111.966,120.475,120.897
ADSS1,1.51245,1.86441,2.40775,1.76129
ADSS2,43.5795,39.252,45.9143,47.371
ADTRP,0,0.0719,0,0
AEBP1,0.0313809,0.0828753,0.336916,0.185107
AEBP2,18.2219,18.3774,21.4772,22.1266
AEN,51.499,55.045,59.7811,59.4603
AFAP1,3.7002,4.48776,5.35197,4.55815
AFAP1-AS1,0.0464363,0.00833692,0.0101932,0.0334479
AFAP1L1,2.66687,2.86105,3.26549,2.2499
AFAP1L2,0.661599,0.555851,0.770639,0.878113
AFDN,52.2359,48.5354,58.9293,69.001
AFDN-DT,0.753351,1.24272,1.12105,0.535375
AFF1,7.90345,6.56808,8.67242,10.53
AFF2,0.126387,0.061008,0.118587,0.091623
AFF3,1.79216,3.24539,3.09496,4.02431
AFF4,12.1844,12.3087,12.707,15.7943
AFF4-DT,0,1.22959,0,0
AFG1L,3.74772,6.82971,4.81784,8.28097
AFG3L1P,32.4651,27.0256,29.1917,31.7158
AFG3L2,28.2187,30.9309,34.7791,32.8629
AFG3L2P1,0,0,0,0
AFM,0,0,0,0
AFMID,34.4756,28.1844,37.7774,40.1813
AFP,0,0,0.422874,0
AFTPH,8.79122,9.73894,9.9483,9.44447
AFTPH-DT,0.602059,0.828118,0.194211,0.128049
AGA,18.5947,13.7899,17.6079,18.1603
AGA-DT,0.199098,0.144667,0.217428,0.297811
AGAP10P,0.409127,0.859565,0.629624,0.476554
AGAP11,0.0268547,0.489892,0,10.9737
AGAP12P,0.508234,0,12.7183,1.74279
AGAP13P,4.83761,4.75572,0.406523,0.267919
AGAP14P,0.537997,0.169059,4.45983,4.62598
AGAP1,9.99177,7.83283,0.760524,0.533277
AGAP1-IT1,0.741625,0.112698,0.540915,0.301947
AGAP2,2.2245,1.93459,3.65362,2.55674
AGAP2-AS1,6.46963,7.28542,6.08021,5.24386
AGAP3,70.6606,72.6991,81.2946,81.7801
AGAP4,10.1804,6.46729,8.35901,11.1209
AGAP5,7.8141,6.79011,10.2607,10.196
AGAP6,17.5225,16.9801,17.043,15.2055
AGAP7P,0.362539,0.0715091,0.0799454,0.356155
AGAP9,16.0548,12.9915,15.3776,18.4677
AGBL1,0.0226984,0.0880756,0.106197,0.0273042
AGBL1-AS1,0,0,0,0
AGBL2,0.911392,0,0.041432,0.0455482
AGBL3,8.74818,8.07123,6.33535,8.18402
AGBL4,0,0,0.0358863,0
AGBL4-IT1,0,0,0,0
AGBL5,44.1637,43.6461,37.4966,41.9558
AGBL5-AS1,0,0,0,0.313291
AGBL5-IT1,0,0,0,0
AGER,3.79256,4.40307,5.64289,5.91484
AGFG1,35.9378,35.4692,40.9107,35.8565
AGFG2,6.28858,6.66386,6.80619,8.5751
AGGF1,13.0978,13.3847,13.4789,12.4147
AGGF1P10,0.0662478,0,0,0
AGGF1P1,0.311113,0.249317,0.301685,0
AGGF1P2,0.801052,0.726292,0.644753,0.689152
