,NT.1,NT.2,HNRNPA2B1.1,HNRNPA2B1.2,CD99.1,CD99.2,B4GALNT1.1,B4GALNT1.2
ENSG00000279962,0,0,0.700238,0.543203,0,0,0.466734,0
ENSG00000279964,0,0,0,0,0,0,0,0
ENSG00000279965,0.0230015,0,0,0,0,0,0.0233377,0
ENSG00000279966,0,0,0,0.509152,0,0,0,0.507781
ENSG00000279967,0.143114,0.12383,0.254624,0.310174,0.148195,0.10661,0.286352,0.203191
ENSG00000279970,1.13234,1.29214,0.998505,1.35867,1.63796,1.42506,1.62374,1.17944
ENSG00000279971,0,0.0602258,0,0,0,0,0.0335924,0
ENSG00000279976,0,0,0,0,0,0,0,0
ENSG00000279977,0,0,0,0,0.0278268,0,0.0261267,0
ENSG00000279979,0,0,0,0,0,0,0,0
ENSG00000279981,0,0,0,0,0,0,0,0.0200673
ENSG00000279982,0.0290124,0.0786844,0.0853421,0.105516,0.0157193,0.0331798,0.103296,0.0579334
ENSG00000279983,0,0,0,0.124062,0,0,0,0.11236
ENSG00000279985,0,0,0,0,0,0,0,0
ENSG00000279987,0,0,0,0,0,0,0,0
ENSG00000279989,0.144509,0,0,0.301358,0.303944,0.159155,0.141333,0.139993
ENSG00000279991,0,0,0,0,0,0,0,0
ENSG00000279993,0,0,0,0,0,0,0,0
ENSG00000279995,0,0.569458,0,0,0,0,0,0
ENSG00000279996,0,0,0,0,0.0269818,0,0.0253101,0
ENSG00000279997,0,0,0,0,0,0,0.174703,0
ENSG00000279998,0,0,0,0,0,0,0,0
ENSG00000280000,0,0,0,0.0278059,0,0.0305013,0,0
ENSG00000280002,0,0,0,0,0,0,0,0
ENSG00000280003,0.0701436,0,0,0,0,0,0,0
ENSG00000280004,0,0,0,0,0,0,0,0
ENSG00000280005,0,0,0,0,0,0,0,0
ENSG00000280007,0.0148614,0.0274872,0.0246966,0.0486994,0.0526123,0.0394287,0.0323696,0.0341774
ENSG00000280009,0,0,0,0,0,0,0,0
ENSG00000280010,0.41823,0.295476,0.274976,0.483204,0.349891,0.315854,0.51496,0.368862
ENSG00000280011,0.0185856,0.0162399,0.00265952,0.0116966,0.00500891,0.00774684,0.0229941,0.0161467
ENSG00000280013,0,0,0,0,0,0,0.137161,0
ENSG00000280014,0,0,0,0,0,0,0,0
ENSG00000280015,0.0572246,0.0520605,0.271432,0.0595257,0,0,0,0.113128
ENSG00000280017,0,0,0,0,0,0,0,0
ENSG00000280018,3.38934,1.94013,2.11511,4.39841,5.65753,5.34618,3.96268,3.1602
ENSG00000280019,0,0,0,0.104781,0.0541363,0.0570057,0,0
ENSG00000280020,0,0.0812785,0.0529485,0.135101,0,0,0,0.133095
ENSG00000280022,0,0.136043,0,0,0.0797081,0,0.074501,0
ENSG00000280023,0,0,0,0.0677473,0,0,0,0
ENSG00000280025,0.0104298,0.0282697,0.012263,0.0325104,0.0226255,0.0477697,0.0743616,0.0729641
ENSG00000280026,0,0,0,0,0,0,0,0
ENSG00000280027,0,0.0319648,0,0,0,0.1202,0,0
ENSG00000280028,0,0,0,0,0,0,0,0.101899
ENSG00000280029,0,0,0.583034,0,0,0,0,0
ENSG00000280032,0,0,0,0,0,0,0,0
ENSG00000280033,0.24103,0.262778,0.114137,0,0.155487,0.109167,0.388291,0.334237
ENSG00000280035,0,0.0154938,0,0,0,0.0195775,0.0522407,0
ENSG00000280036,0,0,0,0,0,0,0,0
ENSG00000280037,0,0.173942,0,0,0.671842,0,0,0.123772
ENSG00000280040,0,0,0,0,0.0919139,0,0,0
ENSG00000280042,0,0,0,0,0.0254371,0,0,0
ENSG00000280043,0.110917,0.200934,0.0654104,0.172935,0.149777,0.221116,0.224751,0.413983
ENSG00000280046,0.227009,0.273428,0.411459,0.27639,0.405548,0.383571,0.203464,0.266189
ENSG00000280047,0.0522168,0.0157419,0.0409813,0.0904383,0.056545,0.119333,0.070761,0.0523147
ENSG00000280048,0.0130979,0,0,0,0.0141978,0.0149855,0,0
ENSG00000280049,0,0,0,0,0,0,0,0
ENSG00000280053,0,0.0120695,0.0157083,0.013875,0,0,0.0407649,0.0133356
ENSG00000280054,0,0,0,0,0,0,0,0
ENSG00000280057,0.211748,0.143822,0.187267,0.302624,0.143009,0.0603262,0.268269,0.263519
ENSG00000280058,0,0,0,0,0.0395768,0.0834203,0,0.0364622
ENSG00000280060,0,0,0,0,0,0,0,0
ENSG00000280061,0.114128,0.147119,0.13115,0.10651,0.0922859,0,0.173024,0.114018
ENSG00000280062,0,0,0,0,0,0,0,0
ENSG00000280063,0.263277,0.47668,0.282099,0.472641,0.465817,0.300252,0.631206,0.45302
ENSG00000280064,0.057804,0.052298,0,0.0400478,0,0.0880181,0,0.0960796
ENSG00000280067,0.0200026,0,0.0235636,0,0.109287,0,0.0203136,0.0202228
ENSG00000280068,0,0.122449,0,0,0,0,0.130739,0
ENSG00000280069,0,0.0201033,0,0.0230689,0,0,0.0473341,0.0221212
ENSG00000280070,0,0.010792,0,0.0124086,0,0.0136679,0.0121578,0.0119306
ENSG00000280071,58.8566,63.1617,59.6665,55.6526,55.7806,65.3888,62.8866,55.158
ENSG00000280073,0,0,0,0.0416735,0.0216983,0,0.0814449,0
ENSG00000280077,0.54244,0.647377,0.55223,0.79443,0.666374,0.590376,0.750122,1.08057
ENSG00000280078,0.0226556,0.0511794,0.0399628,0.0471622,0.0862604,0.0395919,0.13005,0.0838466
ENSG00000280079,0,0,0,0,0,0,0,0
ENSG00000280083,0,0,0,0,0.0518154,0,0,0.0238699
ENSG00000280086,0,0,0,0,0,0,0,0
ENSG00000280087,0.0246655,0.0523332,0.0464902,0.0435478,0.0872001,0.091287,0.0404653,0.0326873
ENSG00000280088,2.51642,2.23011,3.03145,2.22186,2.83582,2.34307,2.82423,3.17838
ENSG00000280089,0,0,0,0,0,0,0,0
ENSG00000280091,0,0,0,0,0,0,0,0
ENSG00000280092,0,0,0,0,0,0,0,0
ENSG00000280095,0,0,0,0,0,0.15763,0,0.138629
ENSG00000280096,3.10234,5.11093,2.71248,5.54599,3.02412,2.83255,7.20129,4.03495
ENSG00000280098,0,0,0,0,0,0,0,0
ENSG00000280099,0.221112,0.400557,0.554172,0.545846,0.627032,0.377834,1.09213,0.825292
ENSG00000280103,0,0,0,0,0,0,0,0
ENSG00000280105,0.037436,0.0676664,0.0146774,0.0388987,0.0541143,0.0142797,0,0.0124976
ENSG00000280106,0.0641118,0.0580175,0.125883,0.0666302,0.115603,0.0975621,0.195244,0.276929
ENSG00000280107,0.595922,0.257063,0.401682,0.383456,0.33716,0.452481,0.718619,1.0731
ENSG00000280108,0,0,0,0,0,0,0,0
ENSG00000280110,0,0,0,0,0,0,0,0
ENSG00000280113,0.0236899,0,0,0.0490962,0,0.101194,0.023903,0
ENSG00000280114,0,0,0,0,0,0,0,0
ENSG00000280115,0,0,0.171975,0,0,0.0813046,0.216814,0.142441
ENSG00000280116,0,0,0.589059,0,0,0,0,0
ENSG00000280117,0,0,0.0118549,0.0104774,0,0,0.0206639,0.0109895
ENSG00000280118,0,0,0,0.0237555,0,0,0,0
ENSG00000280119,0.045937,0.0165984,0.0107998,0.0381826,0,0.0210474,0,0.0275535
ENSG00000280120,4.70574,4.51881,3.29304,4.62052,5.80321,5.12535,7.4382,4.88405
ENSG00000280121,0,0,0,0,0,0,0,0
ENSG00000280122,0.0138581,0.0251851,0,0.0578745,0.0600927,0.0317036,0.0706943,0.0277763
ENSG00000280124,0.0986382,0,0,0,0,0,0,0
ENSG00000280128,1.13275,1.27414,1.3464,1.45246,1.24124,1.16384,1.51167,1.44708
ENSG00000280129,0.0587961,0.103742,1.38736,1.52792,0.394164,0.167363,0.461761,0.321732
ENSG00000280131,0,0,0,0,0,0,0,0.186565
ENSG00000280132,0.0985111,0.178379,0.058632,0.241278,0.133231,0.08897,0.0500656,0.02453
ENSG00000280134,0,0,0,0,0,0,0,0
ENSG00000280135,0.0155066,0.028041,0,0,0,0,0,0
ENSG00000280136,0,0,0,0,0,0,0,0.0155249
ENSG00000280137,0,0,0.302941,0,0,0,0,0.233661
ENSG00000280138,0.0673849,0.0355713,0.0619566,0.0496121,0.0370638,0.0485465,0.0885657,0.0926781
ENSG00000280140,0,0,0,0,0,0,0,0
ENSG00000280143,0.0193395,0,0.0456169,0.0170667,0,0.047305,0.0527097,0.0205174
ENSG00000280145,1.56215,1.85936,0.976329,2.55393,2.14291,1.19957,2.36265,2.5718
ENSG00000280147,0,0,0,0,0,0,0,0
ENSG00000280148,0,0,0,0,0,0,0,0
ENSG00000280149,0.607335,0.555893,0.48417,1.05447,0.322563,0.225775,1.20343,0.396215
ENSG00000280152,0,0,0,0.0113087,0.0130673,0,0.037139,0
ENSG00000280153,0,0,0,0,0,0,0,0
ENSG00000280154,0,0,1.36942,0,0,0,0,0
ENSG00000280155,0,0,0,0,0,0,0,0
ENSG00000280157,0.143739,0.24154,0.169312,0.128042,0.2222,0.117209,0.271051,0.102363
ENSG00000280159,0.0188744,0.0341479,0.0222257,0.0196146,0.0408637,0.0215575,0.0383489,0.0188251
ENSG00000280160,0.0833858,0.0377298,0.0245616,0,0.0676689,0.047592,0.106158,0.0834022
ENSG00000280161,1.05636,1.68071,2.37814,2.80159,1.81531,2.80713,1.75253,1.30652
ENSG00000280162,0.0244336,0.0110406,0.0143687,0.012694,0.0397365,0,0.0124364,0
ENSG00000280163,0.0284152,0.0455255,0.033563,0.0890936,0,0.032363,0.0287829,0
ENSG00000280164,1.2658,1.4007,1.09565,1.7861,1.77759,1.33339,2.14764,2.25666
ENSG00000280166,0,0,0,0,0,0,0,0
ENSG00000280167,0,0,0,0,0,0,0,0.669736
ENSG00000280169,0.021001,0.0380073,0,0.0218257,0.0454453,0.0479426,0.0639629,0.0209356
ENSG00000280171,0,0,0,0,0,0,0,0
ENSG00000280173,1.49247,1.52292,1.95688,1.27192,1.44211,1.24694,1.77451,1.72076
ENSG00000280176,0,0,0.155955,0.264212,1.30777,0,0,0.60778
ENSG00000280177,0.114522,0.0887653,0.134795,0.034002,0.0886035,0.0373999,0.0831659,0.0326546
ENSG00000280180,0.0102649,0.0111186,0.0101608,0.00795317,0,0.0175447,0.0638205,0.0737167
ENSG00000280181,0,0,0,0.0504195,0,0,0.0488091,0
ENSG00000280182,0,0,0,0,0,0,0,0
ENSG00000280183,0,0,0,0,0,0,0,0
ENSG00000280184,0.224428,0.0486745,0.0990747,0.209924,0.145647,0.173142,0.640744,0.254093
ENSG00000280186,0.111103,0.100227,0.195577,0.0971468,0.422813,0.0485986,0.113526,0.166967
ENSG00000280187,1.28312,1.42228,2.65926,2.69693,1.75387,2.21776,1.40956,1.42761
ENSG00000280189,0.0174127,0,0,0,0,0,0,0
ENSG00000280190,0,0,0,0,0,0,0.0227866,0.044754
ENSG00000280191,0,0.119796,0,0,0,0,0,0
ENSG00000280193,0,0,0.0233104,0,0.0428453,0,0,0
ENSG00000280194,0.160702,0.090874,0.189701,0.299334,0.0820875,0.0918798,0.285593,0.0806805
ENSG00000280195,1.37666,1.18142,1.19563,1.23001,1.69893,1.51482,0.956088,1.17888
ENSG00000280198,0,0.223489,0.19443,0.424772,0.435324,0,0.325307,0.401036
ENSG00000280199,0,0,0,0,0,0,0,0
ENSG00000280200,0.0230015,0,0,0,0,0,0,0.0229191
ENSG00000280202,0.59531,1.16684,0.726663,0.61126,0.72599,0.952998,1.04966,1.36562
ENSG00000280205,0,0,0,0,0,0,0,0
ENSG00000280206,3.62884,4.01858,3.94688,5.03354,3.82571,4.50368,5.52117,4.7192
ENSG00000280207,0,0,0,0,0,0,0.150585,0.298496
ENSG00000280211,0.0914869,0.082753,0.10772,0.209163,0.11886,0.209021,0.0185916,0.0912606
ENSG00000280212,0,0,0,0,0,0,0,0
ENSG00000280214,0,0,0.113256,0.0757118,0.0947097,0.0249771,0.0444308,0.0493285
ENSG00000280216,0.55956,0.172216,0.679759,0.111768,0.583115,0,0.980949,0.894973
ENSG00000280217,0.0232126,0.0209887,0.0273138,0,0,0.0264387,0.0235328,0.0465137
ENSG00000280219,0.0214834,0.0145486,0.0820179,0.0781168,0.0058324,0.0492731,0.0712251,0.0483663
ENSG00000280220,0,0,0,0,0,0,0,0
ENSG00000280222,0,0,0,0,0,0,0,0
ENSG00000280223,0,0,0,0,0,0,0,0
ENSG00000280224,0,0.0460588,0,0,0,0.0573406,0,0.100335
ENSG00000280225,0.0327646,0.0489128,0,0,0.0390341,0,0.0205481,0
ENSG00000280227,0,0,0,0,0,0,0,0
ENSG00000280228,0,0.010411,0.0135489,0,0.0124934,0,0,0.0115113
ENSG00000280229,0,0.0215213,0,0,0,0,0,0
ENSG00000280231,0.429171,0.789893,0.344658,0.895016,0.300984,0.31526,0,0.554517
ENSG00000280232,0.09684,0.088594,0,0,0.102975,0.108139,0,0
ENSG00000280233,0,0,0.12656,0,0,0,0,0.103374
ENSG00000280234,0,0,0.12106,0,0,0,0,0
ENSG00000280238,0,0,0,0,0.444619,0,0,0
ENSG00000280239,0.552037,1.1451,0.379483,0.717885,0.69893,0.712663,1.05045,1.70242
ENSG00000280241,0,0,0,0,0,0,0,0
ENSG00000280242,0,0,0,0.341944,0,0,0,0.163078
ENSG00000280244,0.736246,1.19382,1.06105,0.314142,1.88928,2.8083,2.33185,2.59739
ENSG00000280245,0,0,0,0,0,0,0,0.0468548
ENSG00000280247,0.277961,0.0459484,0.479022,0.105156,0.217309,0.114412,0.20347,0.150148
ENSG00000280248,0,0.0211702,0,0,0,0.0526689,0,0.0461356
ENSG00000280249,0,0,0,0,0,0,0,0
ENSG00000280254,0.0220583,0.0399271,0.02599,0,0.0238608,0.02519,0,0.0219842
ENSG00000280255,0.0511689,0.0308504,0,0,0.0184716,0,0.0173371,0.0680764
ENSG00000280257,0,0,0,0,0,0,0,0
ENSG00000280262,0,0,0,0,0,0,0,0.015428
ENSG00000280265,0,0,0,0.0411891,0.0425272,0,0,0.07836
ENSG00000280266,0,0.0564881,0,0,0.0336412,0.035467,0.0630854,0
ENSG00000280269,0,0.166096,0.144354,0.12656,0,0.0686213,0,0.120148
ENSG00000280270,0,0,0,0,0.0292538,0,0,0.0269525
ENSG00000280272,0,0,0,0,0,0,0,0
ENSG00000280273,0.122331,0.138566,0.0721792,0.222535,0.165081,0.174047,0.030958,0.0304185
ENSG00000280274,0,0,0,0,0,0,0,0
ENSG00000280275,0,0,0,0,0,0,0,0
ENSG00000280276,0.0240426,0.0217657,0,0.0749655,0,0,0.0243862,0
ENSG00000280277,0,0,0,0.0469474,0.0244285,0.0773047,0.0229189,0
ENSG00000280280,0,0,0,0,0,0,0,0
ENSG00000280281,0.0249573,0.0225555,0.0440321,0.0388987,0.0405858,0.0428391,0,0
ENSG00000280282,0,0,0,0,0,0,0,0
ENSG00000280283,0,0,0,0,0,0,0,0
ENSG00000280284,0,0,0,0,0,0,0,0
ENSG00000280285,0.0279075,0,0,0,0,0.0160047,0,0.0278579
ENSG00000280287,0.462888,0.475457,0.248109,0.185822,0.342316,0.28924,0.439687,0.305297
ENSG00000280288,0,0,0,0,0,0,0,0.0354305
ENSG00000280291,0.0584237,0.0132044,0.120302,0.0151773,0.0633078,0,0.104432,0.0730668
ENSG00000280294,0.0133951,0.0605381,0.0315158,0.0835127,0.0725952,0.168567,0.0681547,0.187285
ENSG00000280295,0,0,0,0.0605716,0,0,0,0
ENSG00000280296,0,0,0.017127,0,0,0,0,0
ENSG00000280299,0,0,0,0,0,0,0,0
ENSG00000280300,0,0,0,0,0,0,0,0
ENSG00000280302,0,0.0252593,0,0.0472033,0,0.0349027,0,0.0352936
ENSG00000280304,0.115287,0.185239,0.226014,0.133103,0.319386,0.190542,0.325938,0.255893
ENSG00000280305,0,0.0117585,0,0.0137057,0.028205,0.02977,0.0132522,0.0129938
ENSG00000280306,0.0238939,0,0,0,0,0,0,0
ENSG00000280307,0,0,0,0,0,0,0,0
ENSG00000280309,0,0,0,0,0,0,0,0
ENSG00000280310,0.782838,0.533478,0.579303,0.50881,1.2623,0.443109,0.98504,0.629909
ENSG00000280311,0.0534154,0.145704,0,0.111111,0.229442,0.120782,0.107393,0.158534
ENSG00000280312,0,0,0,0,0,0,0,0.0289107
ENSG00000280317,0,0,0,0,0,0,0.306098,0.307017
ENSG00000280319,0.148799,0.105167,0.304827,0,0,0,0.279735,0.246826
ENSG00000280320,0,0,0,0,0,0,0,0
ENSG00000280321,0,0,0,0,0.0311258,0,0,0.028677
ENSG00000280323,0,0.0231315,0.0301179,0,0,0,0.0258988,0.0263777
ENSG00000280325,0,0,0,0,0,0,0,0
ENSG00000280326,0.031748,0,0.0749451,0,0,0,0.0321261,0
ENSG00000280327,0.0575617,0.104294,0.033977,0.0897491,0.0932517,0.196831,0.14575,0.114554
ENSG00000280331,1.03563,0.964599,0,1.12147,3.01386,1.04988,0,1.89559
ENSG00000280332,0.116777,0.253698,0.137624,0.145644,0.303076,0.426252,0.260637,0.279266
ENSG00000280333,0,0,0,0,0,0,0,0
ENSG00000280334,0,0.0292164,0.0219619,0,0,0,0.0164325,0.0380352
ENSG00000280335,0,0,0,0,0,0,0,0
ENSG00000280339,0.0539772,0.0250295,0,0.0287719,0,0.0158364,0.0265291,0.0545649
ENSG00000280340,0,0,0,0,0,0,0,0
ENSG00000280341,0.00873294,0,0.00888634,0.015045,0,0.0129039,0.0163524,0.00766998
ENSG00000280344,0.03203,0,0.0188489,0.0332841,0.0173481,0.0366144,0.0228762,0.015984
ENSG00000280345,0.127202,0,0,0,0.0846716,0.0832113,0,0.078003
ENSG00000280347,0.531703,0.488282,0.552064,0.534018,0.567311,0.456824,0.704362,0.903681
ENSG00000280348,0,0,0,0,0,0,0,0
ENSG00000280349,0,0,0,0,0,0,0,0
ENSG00000280351,0.60391,0.334069,0.588245,0.544976,0.709383,0.504728,0.612137,0.601281
ENSG00000280352,0,0,0,0,0,0,0,0
ENSG00000280353,0.118752,0.349148,0.139928,0.123171,0.191926,0.0337836,0.119983,0.324587
ENSG00000280355,0.940697,1.48489,1.28875,1.27323,1.25426,0.998573,1.75412,1.5917
ENSG00000280356,0,0,0.0238482,0.00420284,0,0,0.0041477,0
ENSG00000280357,0,0,0,0,0,0,0,0
ENSG00000280360,0,0,0,0.119417,0,0,0,0
ENSG00000280362,0.033866,0,0,0,0.0244837,0.0129225,0,0
ENSG00000280364,0,0,0,0,0,0,0,0
ENSG00000280365,0,0,0,0,0,0,0,0
ENSG00000280366,0,0,0,0,0,0,0,0
ENSG00000280367,0.0265062,0.047916,0.0311808,0.0275423,0,0.0151624,0.040461,0.0397084
ENSG00000280368,0,0,0,0,0,0,0,0
ENSG00000280369,0,0,0,0,0,0,0,0
ENSG00000280372,0,0,0,0,0,0,0,0
ENSG00000280374,1.02977,1.34139,0.69997,1.07179,1.88701,1.15755,1.69032,1.52107
ENSG00000280375,0,0.0942431,0.123127,0,0,0.114745,0.10193,0
ENSG00000280376,0.138865,0,0,0,0,0,0.136048,0
ENSG00000280377,0,0,0,0,0.110875,0,0,0
ENSG00000280378,0.0813084,0,0.0637079,0.174551,0.162396,0.128446,0.101029,0.0805514
ENSG00000280379,0,0,0,0,0,0,0,0
ENSG00000280380,0,0,0.0166135,0,0,0.0162014,0.014366,0
ENSG00000280381,0.0394472,0,0,0,0.00856339,0,0.0321676,0.0157794
ENSG00000280382,0,0,0,0,0,0,0,0
ENSG00000280383,0.0141984,0.0154209,0.0223317,0.0435774,0.0313578,0.017359,0.0415561,0.0375948
ENSG00000280384,0,0,0,0.023685,0,0.00980967,0.0345489,0
ENSG00000280385,0,0,0,0,0,0,0,0
ENSG00000280387,0,0.036087,0,0.0413492,0.0856853,0,0.200726,0.0789411
ENSG00000280388,0.0470211,0.0851295,0.193958,0.0488704,0.101764,0.0268158,0.0477009,0.0234234
ENSG00000280390,0,0,0,0,0,0,0,0
ENSG00000280392,0,0.0117694,0,0.0135306,0.0141154,0,0.0132524,0.0130057
ENSG00000280394,0,0,0,0,0,0,0.183213,0.181991
ENSG00000280395,0.0241902,0,0,0.0251361,0.0393519,0,0.0369633,0
ENSG00000280396,0,0,0,0,0,0,0,0
ENSG00000280397,0,0,0,0,0,0,0,0
ENSG00000280398,0,0,0,0.169909,0.110438,0.114864,0.185454,0
ENSG00000280399,0.036306,0.032856,0.028641,0.0377242,0.0131452,0.0277004,0.0130938,0.0241796
ENSG00000280400,0,0,0,0,0,0,0,0
ENSG00000280401,0.0823281,0,0,0.0285246,0,0.0312643,0.055612,0.136578
ENSG00000280402,0.0892219,0.108514,0.0703619,0,0,0.0677984,0.0303681,0.119647
ENSG00000280404,2.0486,0.275855,0.889362,0,0.280753,0.700433,0,0.545398
ENSG00000280405,0,0,0,0,0,0,0,0
ENSG00000280406,0,0,0,0,0,0,0,0
ENSG00000280407,0,0.0147885,0,0,0,0,0.0166268,0.016321
ENSG00000280408,0,0,0,0,0,0,0,0
ENSG00000280414,0.100855,0.0520998,0.118667,0.0748572,0.0312261,0.0659115,0.0586278,0.115084
ENSG00000280416,0,0,0,0,0,0,0.319839,0
ENSG00000280417,0.836756,1.0605,3.01504,2.41024,1.65438,1.63591,0.873001,1.16701
ENSG00000280418,0.00574317,0,0,0,0,0,0,0
ENSG00000280420,0,0,0.167704,0,0,0,0,0
ENSG00000280422,0.0680929,0.24623,0.0801417,0.0942457,0.0981859,0.0517276,0.0690117,0.090444
ENSG00000280423,0,0,0,0,0,0,0,0
ENSG00000280424,0.0106707,0,0,0,0,0.0366523,0,0
ENSG00000280425,0,0.00801467,0,0,0,0,0,0
ENSG00000280426,0.472321,0.377494,0.688163,0.808615,0.450207,0.696289,0.647415,0.248874
ENSG00000280429,0.0382858,0,0.0320536,0.0465514,0.0300061,0.0312311,0.0405743,0.0720655
ENSG00000280431,0.390034,0.427061,0.0928732,0.162408,0.499787,0.613041,0.544861,0.690639
ENSG00000280432,0,0,0,0,0,0,0,0
ENSG00000280433,1.63524,2.14789,1.9256,2.93936,2.85597,2.01945,2.309,2.41903
ENSG00000280434,0.015088,0.0112558,0.00419214,0.00961435,0.0175175,0.0163662,0.0251607,0.0227152
ENSG00000280435,0,0,0,0,0,0,0,0
ENSG00000280436,0.256825,0,0,0.133872,0,0,0,0.374581
ENSG00000280438,0,0,0,0,0,0,0,0
ENSG00000280439,0,0,0,0,0.106876,0,0,0
ENSG00000280440,0,0.924964,0,0.2617,0,0,0,0
ENSG00000280441,1.61295,2.52032,1.79747,1.63809,1.65697,1.80534,1.71336,1.71865
ENSG00000280443,0,0,0,0,0,0,0,0
ENSG00000280445,0,0,0,0,0,0,0,0
ENSG00000280451,0.0823129,0,0,0,0.044322,0.140095,0.0415274,0.0408333
ENSG00000280453,0.175202,0,0,0,0,0,0,0
ENSG00000280454,0,0,0,0,0,0,0,0
ENSG00000280455,0,0,0,0,0,0,0,0
ENSG00000280474,0,0.111804,0.146173,0,0.14925,0,0,0
ENSG00000280485,0,0,0,0,0,0,0,0
ENSG00000280486,0,0.0303883,0,0,0,0.0192967,0.119848,0.0502538
ENSG00000280494,0,0,0,0,0,0,0,0
ENSG00000280511,0.0995393,0.173578,0.226687,0,0.2019,0.106025,0.0941973,0.278988
ENSG00000280537,0,0.0174658,0,0.0205654,0,0.0442395,0,0.0478224
ENSG00000280561,0.0633195,0,0,0,0,0,0.683914,0
ENSG00000280571,32.824,39.9587,23.608,29.1094,25.8145,32.9512,33.9437,29.3196
ENSG00000280604,0.0275503,0.0248869,0.0323853,0.0286246,0.00996378,0.0525959,0.0187144,0.0367222
ENSG00000280607,0,0,0,0,0,0,0,0
ENSG00000280614,0.0571476,0.0259949,0.0169414,0,0.045986,0.0860557,0.0765131,0.0564889
ENSG00000280636,0,0,0,0,0,0,0,0
ENSG00000280649,3.78152,4.07715,7.84618,8.93268,4.65105,5.66552,4.01486,4.6001
ENSG00000280660,0.00514281,0.00928441,0,0.00534209,0.00558429,0.0179478,0.0162362,0.0103028
ENSG00000280665,0,0,0.713615,0,0,0,0,0
ENSG00000280707,0,0.103658,0.0628984,0.110416,0.114013,0.125652,0,0.0525188
ENSG00000280710,0.242018,0.227993,0.148516,0.126065,0.267694,0,0.652001,0.120096
ENSG00000280758,0,0.196707,0.128516,0,0.455482,0,0,0.104896
ENSG00000280767,0,0,0,0,0,0,0,0.123056
ENSG00000280773,0,0,0,0,0,0,0,0
ENSG00000280778,0,0,0,0,0,0,0,0
ENSG00000280800,0.0571476,0.0259949,0.0169414,0,0.045986,0.0860557,0.0765131,0.0564889
ENSG00000280828,1.24959,1.84182,1.12361,1.06078,1.78122,1.10549,2.45191,3.03584
ENSG00000280836,0,0,0,0,0,0,0,0
ENSG00000280850,0,0,0,0,0,0,0,0.046128
ENSG00000280852,5.29171,2.4895,0.233144,0.186713,3.24553,1.69742,0.84526,5.60717
ENSG00000280878,0,0,0,0,0.132246,0,0,0
ENSG00000280881,0,0,0,0,0,0,0,0
ENSG00000280893,22.4826,25.8084,32.6206,33.2365,24.0657,24.941,22.4765,20.9399
ENSG00000280904,0,0,0,0,0,0,0,0
ENSG00000280920,0,0,0,0,0,0,0,0
ENSG00000280968,14.6793,18.4047,10.8428,15.9451,18.1392,25.4274,24.3349,17.1142
ENSG00000281008,0,0,0,0,0,0,0,0
ENSG00000281016,0,0,0,0,0,0,0,0
ENSG00000281021,0.0752464,0,0,0,0,0,0,0
ENSG00000281039,0,0.203545,0,0,0,0,0,0
ENSG00000281087,0,0,0,0,0,0,0,0
ENSG00000281091,0.246592,0.16037,0.216587,0.776554,0.254266,1.06077,1.17947,0.0500765
ENSG00000281100,0,0,0,0,0,0,0,0
ENSG00000281120,0,0,0,0,0,0,0,0
ENSG00000281133,0,0,0,0,0,0,0,0
ENSG00000281160,0,0,0,0,0,0,0,0
ENSG00000281181,0.0571476,0.0259949,0.0169414,0,0.045986,0.0860557,0.0765131,0.0564889
ENSG00000281195,0.0296028,0.0268213,0.0698539,0.215399,0,0.101111,0.05995,0.117803
ENSG00000281269,0,0,0,0,0,0,0,0
ENSG00000281333,0.541378,0.658717,0.70251,1.06388,1.26435,0.249827,0.535024,1.09938
ENSG00000281348,2.14444,1.58913,0.606608,0.981837,0.534802,0.512837,0.874009,0.94845
ENSG00000281365,0,0,0,0,0,0,0,0.180092
ENSG00000281369,0,0,0,0,0,0,0,0
ENSG00000281383,0,0.0259949,0.0169414,0,0.045986,0,0,0
ENSG00000281386,0,0,0,0,0,0,0,0
ENSG00000281420,0,0,0,0,0,0,0,0
ENSG00000281460,0,0,0,0,0,0,0,0
ENSG00000281468,0.559385,1.02297,0.556598,1.16517,0.49608,0.83371,1.29627,1.00539
ENSG00000281469,0.126505,0,0.151949,0.395642,0.133599,0,0.124391,0
ENSG00000281530,0,0,0.0809624,0.141801,0.510441,0.076705,0.0681917,0.067175
ENSG00000281538,0.188112,0.725795,0.341631,0.0979591,0.206181,0.210223,0.375741,0.559473
ENSG00000281566,0,0.0872074,0,0,0,0,0,0
ENSG00000281571,2.7892,2.98296,6.29109,8.95371,4.47329,5.37279,3.9323,4.64966
ENSG00000281593,2.22585,2.22705,2.57786,0.855016,2.76072,0.688592,3.15031,3.19421
ENSG00000281613,0.418251,0.27157,0,0.0704142,0.148434,0.0184915,0.0207699,0.0326775
ENSG00000281655,0,0,0,0,0,0,0,0
ENSG00000281741,0,0,0,0,0,0,0,0
ENSG00000281772,0,0,0,0,0,0,0,0
ENSG00000281825,0,0,0,0,0,0,0,0
ENSG00000281849,0.69658,0.256308,0.335408,0.290546,0.586786,0.307376,0.272942,0.270268
ENSG00000281856,0.0427719,0.188406,0.142825,0.0894506,0.092089,0.0239806,0.0832289,0.06363
ENSG00000281883,0,0,0,0,0,0,0.035632,0.172386
ENSG00000281896,0,0,0,0,0,0,0,0
