,h3.1,h3.2,h3.3,h11.1,h11.2,h11.3
KCNQ2,29.2885,14.7031,12.1519,18.6042,16.9365,43.0617
KCNQ2-AS1,0,0,0,0,0,0
KCNQ3,0.0133516,0.0220542,0.0613607,0.0119085,0.0811154,0.0344188
KCNQ4,2.95004,2.55269,2.76978,2.83635,3.39734,3.2113
KCNQ5,2.54172,3.84632,2.6974,3.47586,3.58149,3.94801
KCNQ5-AS1,0,0,0,0,0,0
KCNQ5-DT,0.033812,0.061308,0.0164505,0.0150815,0.0555025,0.031972
KCNRG,0.562689,0.682861,0.823922,1.20334,0.476797,0.594757
KCNS1,0,0.026451,0,0,0,0
KCNS2,0,0,0.014865,0,0.0125377,0
KCNS3,0.439551,0.557756,0.285472,0.667502,0.602171,0.500042
KCNT1,0.0163557,0.0083938,4.93055,0.0172386,0,0
KCNT2,0.998458,1.36679,1.04705,2.27041,2.05893,1.72835
KCNU1,0,0,0,0,0,0
KCNV1,0.132384,0.144226,0.101143,0.0252972,0.0697865,0.0624935
KCNV2,0,0,0,0,0,0
KCP,0.398615,0.410841,0.396244,0.302772,0.432198,0.326491
KCTD10,14.4954,17.6297,16.5622,19.121,17.9988,19.5613
KCTD10P1,0,0,0,0,0,0
KCTD11,1.04746,1.36902,1.20971,1.93474,11.3399,1.68407
KCTD12,16.848,16.3162,16.2826,12.0501,1.74096,16.2048
KCTD13,19.6749,15.9309,19.1167,16.104,14.7492,14.2024
KCTD13-DT,3.36276,4.33999,4.54138,18.7534,19.9654,18.7125
KCTD14,0.549491,0.801362,0.535966,1.48875,0.81108,1.63074
KCTD15,33.6941,38.238,37.7306,0.570564,0.746393,0.401795
KCTD16,0.0287359,0.0217153,0.0232749,40.7609,44.5154,38.6347
KCTD17,18.0264,19.075,15.0003,0.0341591,0.0235505,0.0496908
KCTD1,7.955,4.93886,3.8076,21.6285,19.4829,19.5993
KCTD18,4.92544,3.42298,8.83968,6.46772,5.95083,6.84117
KCTD19,3.48517,9.74894,2.83955,2.87017,2.39656,2.93474
KCTD20,17.938,18.3152,16.7334,22.3718,23.0576,22.5134
KCTD2,12.3876,10.7677,11.8393,11.7669,12.2151,12.555
KCTD21,5.3491,2.95203,3.3346,2.92557,3.51317,3.51078
KCTD21-AS1,9.98676,12.4536,12.0483,3.27756,3.0268,3.72818
KCTD3,37.7442,32.0852,34.2166,40.8979,36.9685,47.2724
KCTD4,0.130186,0.0294972,0.126865,0.203395,0.133815,0.247003
KCTD5,25.5671,29.403,26.2895,36.9299,37.1163,36.4678
KCTD5P1,0,0,0,0.111154,0.103051,0.119857
KCTD6,12.1747,14.114,14.3626,14.2441,13.5712,11.4365
KCTD7,4.06229,4.3189,4.45679,3.83703,3.81692,4.03008
KCTD8,0.2113,0.0713613,0.0511162,0,0.177487,0
KCTD9,15.5962,14.9484,15.5965,18.3959,17.8622,20.4461
KCTD9P1,0.127151,0.0581813,0,0,0,0
KCTD9P2,0,0,0,0,0,0
KCTD9P3,0,0,0,0,0,0
KCTD9P4,0,0.115836,0,0,0,0
KCTD9P5,0,0,0,0,0,0
KCTD9P6,0,0,0,0,0,0
KDELR1,160.866,162,156.275,159.822,178.631,172.627
KDELR2,67.7043,78.173,80.5837,80.6216,88.8615,83.7165
KDELR3,10.6467,6.87655,8.19797,12.5321,13.0361,15.2041
KDF1,0,0,0,0.0336852,0,0
KDM1A,57.5528,60.559,58.1947,67.2553,64.4995,68.0252
KDM1B,11.8767,13.2147,12.1679,16.1034,13.551,12.8116
KDM2A,26.2356,25.5891,28.9261,28.4183,24.7751,26.1871
KDM2B,11.0634,12.8926,11.7138,14.1279,15.352,16.6997
KDM2B-DT,1.33936,0.90831,0.991669,1.95567,1.399,0.490084
KDM3A,15.1805,13.9203,18.6398,26.9507,21.7177,23.432
KDM3AP1,0,0,0,0,0,0
KDM3B,22.5623,24.5555,21.3939,29.0538,25.8463,26.7134
KDM4A,18.6808,18.5771,18.6896,23.1249,22.6866,22.1907
KDM4A-AS1,2.00145,2.48936,1.63039,1.94796,1.66614,0.976087
KDM4B,8.94351,8.70763,7.96953,12.9717,10.7305,11.6325
KDM4C,6.31293,5.49936,4.68317,6.97555,7.48425,6.38528
KDM4D,6.24365,6.53183,6.7763,3.45217,3.80915,4.17879
KDM4E,0.0586607,0.0797526,0.0571471,0,0,0.0278058
KDM4F,0,0,0,0,0.0898073,0
KDM5A,17.1949,13.2863,14.0799,20.959,14.6647,24.2796
KDM5B,22.6782,21.0256,22.6776,24.6404,23.3401,25.4681
KDM5C,74.373,74.823,70.0944,72.5391,62.585,71.1535
KDM5C-IT1,0.107837,0.979555,0.3236,0.193256,0,0
KDM5D,0.422876,0.438324,0.20552,0.0824792,0.22889,0.271613
KDM6A,12.1104,11.602,12.6363,18.0296,15.5349,15.6519
KDM6B,33.0514,26.6594,21.5585,16.6411,18.3352,19.8278
KDM7A,3.73786,3.49079,4.87447,4.82539,5.65047,5.53049
KDM7A-DT,2.57758,3.2327,2.69756,1.73827,1.86195,2.00069
KDM8,5.69358,4.37607,7.78919,4.45504,6.20223,5.25677
KDR,0.0478853,0.0108543,0.0331935,0.0608157,0.0280108,0.0113083
KDSR,10.66,11.7749,12.9832,14.8691,14.8908,12.8694
KDSR-DT,0.971645,0.527681,0.47633,0.435097,1.28838,0.0934254
KEAP1,31.4558,37.1704,27.5965,33.5441,37.5899,39.8093
KEL,0.145165,0.391198,0.268174,0.674461,0.6281,0.0518923
KERA,0,0,0,0,0,0
KHDC1,1.36364,0.865442,1.75506,0.690977,1.31403,0.617402
KHDC1-AS1,1.52503,1.67739,1.5212,1.52177,0.981869,1.67645
KHDC1L,0,0.142803,0,0,0.102848,0
KHDC1P1,0,0,0,0,0,0
KHDC3L,0,0,0,0,0.060352,0
KHDC4,157.84,166.951,172.159,77.8143,76.9635,81.4949
KHDRBS1,121.758,129.679,126.036,151.941,154.383,148.381
KHDRBS2,0,0,0.0574117,0.0526043,0,0
KHDRBS2-OT1,0,0,0,0,0,0
KHDRBS3,22.2807,18.1495,24.6728,16.5643,28.902,13.6351
KHK,12.4875,10.4536,8.27931,12.9862,11.4071,12.2603
KHNYN,13.1758,13.6291,12.1884,13.8851,15.0757,12.3643
KHSRP,236.224,267.653,248.917,292.97,288.729,300.303
KHSRPP1,0,0,0,0,0,0
KIAA0040,1.57372,2.16189,1.23013,2.77297,2.50618,1.92088
KIAA0087,0.0380587,0.0140592,0.0150889,0.0215906,0.0163167,0
KIAA0100,27.837,32.4284,31.0298,32.9865,31.3084,32.9353
KIAA0232,6.56352,5.09613,5.0566,6.55037,6.05517,6.15382
KIAA0319,0.0743236,0.146007,0.132533,0.123398,0.23371,0.222342
KIAA0319L,16.6545,20.569,20.6078,24.3389,23.3495,22.6769
KIAA0408,2.28493,2.54429,2.83246,5.13334,3.59039,4.54125
KIAA0513,2.31115,3.22406,2.3631,2.57017,2.39659,2.69568
KIAA0586,10.3158,9.13064,11.5174,12.0193,12.308,15.285
KIAA0753,9.15632,9.24043,9.03645,10.7762,11.5166,12.0002
KIAA0825,0.373462,0.424069,0.342031,0.329184,0.393333,0.633487
KIAA0895,6.3516,8.33296,6.72053,11.1074,12.0281,12.7115
KIAA0895L,12.3532,12.6052,10.3141,11.5392,10.0878,10.6036
KIAA0895LP1,0,0,0,0,0,0
KIAA0930,16.0219,15.6537,17.3923,18.2873,19.6532,16.707
KIAA1109,7.9418,7.02664,8.69798,7.1823,6.66036,9.40562
KIAA1143,40.2009,49.7486,41.7709,31.8311,36.4577,36.9718
KIAA1143P1,0,0,0,0,0,0
KIAA1143P2,0,0.207095,0,0,0,0
KIAA1191,78.6464,77.9873,72.8188,90.9929,91.9551,91.5934
KIAA1210,0.00884993,0.00800488,0.0171702,0,0.0144772,0.00833375
KIAA1217,0.939807,1.18429,0.749794,1.15068,0.846615,1.83239
KIAA1328,6.41959,7.63731,6.71513,4.60142,5.32958,6.81399
KIAA1522,9.49508,8.34362,9.69898,11.9165,13.4023,11.5096
KIAA1549,2.48338,2.16796,2.28543,2.67515,2.64501,2.48975
KIAA1549L,0.657544,0.846287,0.738123,0.741816,0.950168,1.05053
KIAA1586,11.2055,11.8733,9.93448,11.581,11.3398,11.4749
KIAA1614,0.0543651,0.878962,0.118477,1.06707,0.342555,1.25208
KIAA1614-AS1,0.549803,0.905671,0.829385,1.16119,1.56512,0.904178
KIAA1671,6.79574,6.56148,6.1728,8.32055,7.71606,7.79733
KIAA1671-AS1,0.58356,0.218378,0.806618,0.815647,0.465458,0.764616
KIAA1755,0.0266592,0.0252725,0.0568849,0,0.0459048,0.0309229
KIAA1958,3.02264,2.76742,2.88391,3.8622,3.46764,4.30764
KIAA2012,0.0513572,0.128805,0.113421,0.0379796,0.0421346,0.0606772
KIAA2012-AS1,0.139303,0.104462,0.0387396,0.154622,0.0653569,0.219943
KIAA2013,21.0441,22.7906,21.3823,25.9667,27.0138,26.0662
KIAA2026,1.99483,2.18351,2.95145,3.71902,2.98378,3.92133
KICS2,6.37049,8.62736,8.82583,4.03502,5.31111,5.40345
KIDINS220,13.039,14.1786,13.436,16.6684,16.9933,16.7619
KIF11,33.5812,34.0251,34.3038,42.8646,43.9988,45.4791
KIF12,0.377849,0.371889,0.169045,0.517508,0.323726,0.306652
KIF13A,6.98876,7.6384,5.49659,10.4548,6.75228,7.96534
KIF13B,2.10916,1.56081,1.36559,2.80196,2.08897,2.89734
KIF14,8.39442,8.23327,8.66465,10.831,10.2569,12.1049
KIF15,15.5807,14.2421,15.5485,16.8207,19.605,22.2423
KIF16B,4.04077,4.18063,5.14728,5.76779,4.89775,5.89242
KIF17,2.55376,3.43876,3.45367,3.10725,3.73075,2.62703
KIF18A,9.45322,9.53834,10.6398,13.728,14.3605,14.4597
KIF18B,31.6636,38.041,32.5252,27.262,26.1857,30.4789
KIF18B-DT,0.221383,0.0668253,0.0721926,0,0,0
KIF19,0.0687663,0.016693,0.151914,0.0328547,0.0780006,0.0333404
KIF19BP,0.309326,0,0.423806,0.257481,0,0
KIF1A,24.3864,22.4255,19.7444,32.8537,32.0614,30.5016
KIF1B,10.3917,11.1533,9.8597,12.2922,13.0113,14.9772
KIF1C,41.0681,41.8001,38.9985,44.6714,49.6341,52.5272
KIF1C-AS1,0,0,0.149793,0,0.126736,0.147765
KIF20A,26.5198,28.6212,29.6346,35.402,36.2998,35.0347
KIF20B,16.901,18.0804,16.0593,21.3497,22.0153,21.2621
KIF21A,8.96775,10.1234,12.6006,11.3848,12.3485,10.7546
KIF21B,0.923952,0.792242,0.918874,0.980533,0.872424,0.81816
KIF22,82.0025,83.6494,81.2789,67.125,69.1286,77.2157
KIF23,40.5419,49.0131,44.5414,51.2752,46.955,45.2218
KIF23-AS1,2.04017,1.90034,2.31283,0.461463,0.963043,0.687494
KIF24,3.66637,3.57626,3.50579,5.58895,5.37075,5.12034
KIF25,1.3144,1.61446,0.716999,0.556736,1.12508,0.631266
KIF25-AS1,0,0.0460034,0.0504704,0.0907474,0.0418468,0.0483536
KIF26A,4.41304,3.89545,4.73649,5.55993,5.6979,5.28887
KIF26A-DT,2.55219,1.92273,1.89774,0.574773,1.60806,1.6745
KIF26B,0.496659,0.551179,0.592497,0.97715,0.799899,1.09563
KIF26B-AS1,0,0,0,0,0,0
KIF27,1.67693,1.8006,1.75183,1.73581,1.81613,2.25911
KIF28P,0,0.0199429,0,0,0,0
KIF2A,23.9201,23.1492,23.8549,29.8301,28.1602,29.8189
KIF2C,28.7842,34.9978,30.5323,39.2695,37.9545,38.3167
KIF3A,10.8081,11.3457,11.2212,11.2286,11.0827,10.0819
KIF3AP1,0,0,0,0,0,0
KIF3B,8.39736,8.66522,8.6428,9.95171,10.0053,11.6768
KIF3C,3.82288,3.51769,3.65758,5.41507,3.89109,4.88627
KIF4A,18.4409,20.9087,18.4153,23.3482,25.1894,25.202
KIF4B,0.166479,0.178819,0.118514,0,0.0248602,0.0430469
KIF5A,7.30044,5.55116,6.89816,6.59361,4.62679,4.09564
KIF5B,23.6546,25.099,24.2121,32.3591,34.5864,33.6409
KIF5C,4.50972,4.16644,4.76222,6.00069,6.05777,7.40722
KIF5C-AS1,0,0.0238165,0,0.0469007,0,0
KIF6,1.07644,1.3944,1.92254,0.913003,1.21586,1.50794
KIF7,17.435,15.4264,15.709,17.4856,14.9445,18.2076
KIF9,29.8033,31.1077,25.7275,12.6687,12.3298,11.45
KIF9-AS1,2.7216,3.10015,2.94269,3.32315,2.52024,2.98285
KIFAP3,10.7801,12.4016,11.052,13.5783,15.259,14.3367
KIFBP,23.2871,22.8388,21.4754,22.1845,24.5217,23.37
KIFC1,45.5626,51.4123,49.8881,42.894,44.2634,44.8883
KIFC2,23.1537,22.686,27.7242,22.225,23.5221,25.7443
KIFC3,5.64559,3.32481,4.3677,3.35972,4.70229,4.85774
KIN,13.712,10.5427,11.7022,14.1938,14.5975,15.2697
KIR2DL1,0,0,0,0,0,0
KIR2DL3,0,0,0,0,0,0
KIR2DL4,0,0,0,0,0,0
KIR2DP1,0,0,0,0,0,0
KIR2DS4,0,0,0,0,0,0
KIR3DL1,0,0,0,0,0,0
KIR3DX1,0.0546835,0.0183022,0.16743,0,0.0963078,0.071728
KIRREL1,6.22575,6.00303,5.68639,6.39374,6.69193,6.2827
KIRREL1-IT1,0,0.272231,0.148359,0,0,0
KIRREL2,0.0679674,0.0616121,0.0344476,0.0808661,0.0874058,0.0643454
KIRREL3,0.0394686,0.139726,0.0463439,0.017607,0,0
KIRREL3-AS1,0,0,0,0,0.125824,0
KIRREL3-AS2,0,0,0,0,0,0
KIRREL3-AS3,0,0,0,0,0,0
KISS1,0,0,0.113798,0.103857,0.0962309,0.22367
KISS1R,0.478153,0.771217,0.724485,0.788404,0.856792,0.544231
KIT,6.21655,7.42787,5.21784,6.26101,5.91651,7.16199
KITLG,3.6576,3.55392,3.70792,5.23929,4.50719,4.62299
KIZ,9.7973,10.3104,11.8289,15.5775,16.2126,15.3122
KIZ-AS1,0,0.011133,0.0357927,0,0.105587,0
KL,0,0,0,0.0186643,0,0
KLB,0.0725314,0.0113741,0.0122424,0.00975155,0,0
KLC1,50.8356,52.9975,49.0193,56.5286,57.4359,64.1222
KLC2,35.8359,33.8912,36.4187,30.7869,38.7942,33.2705
KLC2-AS1,0.201476,0.364196,0.199507,0.181381,0,0
KLC2-AS2,0,0,0,0.944956,0,0
KLC3,12.9332,12.7786,12.7532,11.4634,10.6266,13.5262
KLC4,23.3119,24.9367,25.0209,22.8058,17.5564,21.2468
KLC4-AS1,0.770707,0.928852,0,0,0,0.509908
KLF1,0.0880357,0.0797695,14.3287,0.0393202,0.181232,0.0837152
KLF10,13.514,13.5805,0.214707,19.3656,19.4606,18.8032
KLF11,9.25984,10.3978,8.95994,11.7227,11.0854,9.95832
KLF12,3.80431,3.68876,3.91655,5.97103,5.78888,6.2206
KLF13,4.60784,6.3345,5.77199,7.89489,4.56616,5.36877
KLF14,0.0953116,0.207374,0.166973,0.357145,0.281691,0.162297
KLF15,8.42523,6.88431,8.78418,8.65103,8.73718,8.33714
KLF16,12.1443,12.5722,14.68,15.1217,15.5605,16.9513
KLF17,0,0,0.020823,0,0.0174872,0
KLF17P1,0,0,0,0,0,0
KLF18,0.0213021,0.0579323,0,0.0190073,0.052479,0.0201612
KLF2,0.79551,0.431603,0.941835,1.14332,0.664143,0.619944
KLF2-DT,0,0.268443,0,0,0,0.288443
KLF2P1,0,0,0,0,0,0
KLF2P2,0.0728675,0,0,0,0,0
KLF2P4,0.024386,0,0.0271611,0,0,0
KLF3,6.73022,6.72255,7.12646,9.16203,8.34027,8.49385
KLF3-AS1,0.532198,0.810549,0.388977,0.807128,0.652695,0.323514
KLF3P1,0.07431,0.0672915,0.363503,0,0,0.35556
KLF4,5.64797,6.40968,5.79713,3.48741,4.24861,2.81507
KLF4P1,0,0,0,0,0,0
KLF5,11.3092,17.7296,32.998,20.3272,21.5587,13.9474
KLF6,9.04383,10.3484,8.88674,11.5788,10.6738,11.8453
KLF7,2.88482,3.54544,2.03062,3.81052,4.56615,2.60426
KLF7-IT1,0.259469,0.117365,0.255206,0.116376,0.215879,0.125609
KLF7P1,0,0,0,0,0,0
KLF8,0.0921414,0.117148,0.144139,0.0410411,0.0337224,0.0347267
KLF9,8.84032,10.4747,9.08087,11.7613,11.5243,11.4531
KLHDC10,10.5928,11.6758,10.1058,11.2832,11.6195,12.5621
KLHDC1,0.687159,0.638104,0.152355,0.465504,0.700806,0.666096
KLHDC2,34.5458,31.8652,33.041,38.4809,36.0538,32.68
KLHDC3,61.0194,61.4028,61.7707,71.6072,71.0049,69.2068
KLHDC4,34.6364,34.1616,30.1708,33.5857,34.6982,42.369
KLHDC7A,0,0.0118523,0,0,0.053621,0
KLHDC7B,0.0900313,0.122788,0.225186,0.201449,0.179367,0.149606
KLHDC7B-DT,0,0,0,0,0,0
KLHDC8A,0.29724,0.37384,0.200783,0.426632,0.561284,0.308406
KLHDC8B,8.36869,8.55119,7.57236,8.22107,8.81583,9.5445
KLHDC9,0,0,0.152737,0,0.0863744,0.107248
KLHL1,0,0.0152142,0,0.0149704,0,0
KLHL10,0.103554,0.445668,0.131389,0.599008,0.167929,0.293182
KLHL11,2.94004,2.94785,3.00006,3.63057,2.91705,2.99976
KLHL12,18.5943,17.8578,16.4089,20.3333,20.5454,19.8293
KLHL13,7.20618,6.42926,6.54194,6.95538,9.00402,8.70253
KLHL14,0.699098,0.671773,0.649946,0.81762,0.841412,0.906996
KLHL15,10.2154,11.8081,10.8703,11.3508,11.5201,11.3865
KLHL17,38.7326,39.6342,40.0166,38.2929,39.7939,36.5502
KLHL18,11.0349,11.4905,14.9082,17.2948,14.2038,12.701
KLHL20,6.98432,8.35822,7.61692,7.07354,7.81495,7.10315
KLHL21,10.2257,11.7596,10.5495,11.8172,11.0453,11.1537
KLHL22,15.3508,18.9111,14.367,19.7828,17.8522,17.4767
KLHL23,19.8706,23.974,19.8899,20.8391,17.4229,17.5746
KLHL24,2.79838,3.75237,3.70295,3.57462,4.05296,6.59991
KLHL2,4.99834,3.72339,3.20298,3.72994,3.77499,4.27724
KLHL25,2.88459,6.00463,6.06942,5.49053,4.25539,3.99599
KLHL26,4.16314,5.3422,4.08156,6.97863,8.26062,7.72024
KLHL28,2.876,3.82896,4.57442,3.34279,4.2511,3.41538
KLHL29,4.25695,4.62584,4.39018,5.24802,5.3447,5.17931
KLHL2P1,0.651006,0.533018,0,0.746979,0.620635,0.86721
KLHL30,0.0176445,0,0.017199,0.0475178,0.0289661,0.0166869
KLHL3,0.344048,0.441144,0.439711,0.0774,0.16028,0.824796
KLHL30-AS1,0.667449,0.0589752,0.168888,0.192661,0.149209,0.0821039
KLHL31,0.227397,0.278345,0.331734,1.0453,1.14007,0.0695739
KLHL32,0.351409,0.269345,0.298702,0.548244,0.400134,0.763358
KLHL33,0.182804,0.208292,0.139187,0.0474106,0.13779,0.100664
KLHL34,0.0183498,0.0166354,0,0,0.0150632,0
KLHL35,0.0638585,0.25001,0.138253,0.133104,0.200231,0.098731
KLHL36,5.05842,6.12558,5.2618,7.73349,7.11114,5.86049
KLHL38,0.0208006,0.0190782,0.0342006,0,0.0865842,0.0780035
KLHL40,0,0,0,0,0,0
KLHL4,0.0797453,0.0413172,0.0443181,0.0249632,0.0459706,0.0537997
KLHL41,1.2874,1.25638,0.673242,1.98713,1.80148,1.27107
KLHL42,8.71284,8.19322,9.94222,10.3903,9.14826,9.24288
KLHL5,6.40606,6.12988,5.0625,7.89012,6.81853,7.49057
KLHL6,0,0.108981,0,0,0.0200506,0.0231948
KLHL6-AS1,0.0625093,0,0,0.174118,0.158885,0.188988
KLHL7,13.8468,14.8104,11.5608,17.4987,19.2988,15.9578
KLHL7-DT,0.626653,0.958209,0.976328,0.19219,0.337636,0.407605
KLHL8,8.8643,13.1644,10.8904,13.2597,11.4047,11.8036
KLHL9,13.282,12.4713,12.46,13.2249,13.8348,13.4009
KLK10,0.101055,0.094022,0.239916,0,0.0415805,0.0695464
KLK1,0.170453,0.15432,0.087718,0.704031,0.6847,0.572206
KLK11,0.13912,0.247201,0.0451624,0.0826993,0.0381599,0.352271
KLK12,0,0,0,0,0,0
KLK13,0,0.0349054,0.109189,0.126742,0.0633932,0.107248
KLK14,0.901745,1.23267,1.32403,1.01844,1.55149,1.11024
KLK15,0.190086,0.3605,0,0,0,0.107214
KLK2,0.698783,0.157963,0,0.157051,0.146366,0
KLK3,0,0,0,0,0,0
KLK4,0.118661,0.13845,0.298359,1.25742,0.595897,2.34574
KLK5,0,0,0,0,0,0
KLK6,0,0,0,0,0,0
KLK7,0.0364919,0.0330705,0,0.138429,0.0300217,0.0685191
KLK8,0.165697,0.979136,0.542293,0.528027,0,0
KLK9,0,0,0,0,0,0
KLKB1,0.0673601,0,0.0328245,0.120281,0.027699,0.0319583
KLKP1,0.179327,0.180284,0.454063,0,0.0384034,0.126781
KLLN,1.21186,1.4558,1.28227,0.549254,0.584226,0.429562
KLRA1P,5.39751,3.68141,4.32451,5.07317,3.21893,3.57597
KLRC1,0,0,0,0.156192,0.140873,0.0816327
KLRC2,0,0,0,0.163355,0.138063,0.185257
KLRC3,0,0,0,0.1801,0.25004,0
KLRC4,0,0,0,0,0,0
KLRC4-KLRK1,0,0,0,0.138965,0,0.101001
KLRD1,0.503324,0.45501,0.766381,0.132014,0.161273,0.0591823
KLRF1,0,0,0,0,0,0
KLRG1,2.2313,3.97785,2.68875,1.87458,1.21231,1.92481
KLRG2,4.52124,4.92912,4.54858,4.62679,5.52407,7.00983
KLRK1,0.223609,0.0920596,0.204919,0.0415097,0.0670054,0.163769
KLRK1-AS1,2.25036,2.8249,4.1357,2.43619,3.72571,3.7356
KMO,0.0270135,0.131777,0.039416,0.0602354,0.0231187,0.0525556
KMT2A,21.9372,18.5152,22.1834,23.0942,20.4258,24.5213
KMT2B,24.6512,29.1507,26.8848,16.3136,19.4853,18.7384
KMT2C,14.1689,14.7061,15.2536,18.059,10.6199,19.5827
KMT2D,37.3061,34.3145,36.075,31.7443,24.5662,31.3974
KMT2E,16.7528,13.578,14.574,14.1222,14.0963,14.3218
KMT2E-AS1,41.5087,42.7463,45.5805,2.31913,1.71288,2.58667
KMT5A,49.9133,49.7751,55.4651,63.3023,66.6861,66.5365
KMT5AP1,0,0.068307,0.0699936,0,0,0
KMT5AP2,0,0,0,0,0,0
KMT5AP3,0,0,0,0,0,0.243597
KMT5B,13.3665,16.6498,16.8784,17.5749,18.7581,17.4683
KMT5C,14.6627,16.821,13.3851,15.8694,20.9386,17.6204
KNCN,0,0,0,0,0,0.0280523
KNDC1,1.24694,1.52397,2.0668,1.66222,1.81878,1.99836
KNG1,0,0,0.184029,0.0928964,0,0.0990162
KNL1,6.79277,8.44639,6.47461,8.54721,7.9218,9.77073
KNOP1,26.4207,29.3419,27.6526,36.9184,33.5575,33.0171
KNOP1P1,0,0,0,0,0,0
KNOP1P2,0,0,0,0,0,0
KNOP1P4,0,0,0,0,0,0
KNOP1P5,0,0,0,0,0,0
KNSTRN,28.7345,28.9244,31.2084,33.5309,32.008,30.2701
KNTC1,46.2402,51.7532,50.3077,41.4737,41.7858,41.9776
KPNA1,35.697,35.5091,33.5251,53.7292,49.609,49.9593
KPNA2,202.499,225.726,215.527,213.803,226.581,216.885
KPNA2P1,0,0,0,0,0,0
KPNA2P2,0,0,0,0,0,0
KPNA2P3,3.00027,3.21945,3.73623,4.03971,2.74192,4.00346
KPNA3,20.5179,18.5416,18.5299,22.166,23.6166,22.0679
KPNA4,22.2619,22.2712,21.7852,34.3078,31.5755,33.1518
KPNA4P1,0.150418,0.0454257,0.0489414,0,0.123953,0.0477394
KPNA5,11.8782,12.8628,10.7561,13.0078,13.821,16.1397
KPNA6,21.3662,21.9566,20.7299,23.4418,22.9356,23.256
KPNA7,0,0,0.0380642,0.034862,0,0.148329
KPNB1,218.265,220.002,217.871,257.621,255.3,265.045
KPNB1-DT,1.53704,1.44611,1.53306,0.183588,0.728271,1.21102
KPNB1P1,0.147394,0,0,0.0656928,0.0201577,0.0232389
KPRP,0,0,0,0,0,0
KPTN,21.2473,19.7873,15.1473,13.2176,14.6536,16.7308
KRAS,12.4552,11.9666,12.1552,14.8346,14.7722,15.5834
KRASP1,0,0,0,0,0,0
KRBA1,11.8486,9.89348,10.6194,10.5484,10.8437,12.9687
KRBA2,1.49701,1.45305,1.77614,0.734943,0.478402,0.525207
KRBOX1,0,0,0,0,0,0
KRBOX1-AS1,0,0,0,0,0,0
KRBOX4,10.4395,13.7468,10.449,13.4474,12.1191,12.7666
KRBOX5,10.7089,9.10515,10.3887,15.078,11.9153,10.1306
KRBOX5P1,0,0,0,0,0,0
KRCC1,4.61992,5.20683,5.33755,7.83558,9.10531,7.5968
KREMEN1,7.01959,7.14989,6.75124,8.43985,9.22184,10.151
KREMEN2,1.34335,1.16971,1.31438,1.25987,1.28302,2.35495
KRI1,51.029,51.4958,50.0437,42.211,50.4465,48.07
KRIT1,14.8121,12.4725,13.2968,17.1874,15.0846,17.2685
KRR1,54.8988,60.4051,57.5325,65.0721,61.2422,66.352
KRR1P1,0,0,0,0,0,0
KRT1,0,0,0,0,0,0
KRT10,9.87454,12.3956,12.6303,5.11755,5.29247,4.98074
KRT10-AS1,7.92332,8.42178,9.86082,9.8152,11.5844,12.8968
KRT12,0,0,0,0,0,0
KRT128P,0,0,0,0,0,0
KRT13,0,0,0,0,0,0.303733
KRT14,0,0.0392624,0,0,0,0
KRT15,0.0286072,0.0236028,0.0836513,0,0,0.0246734
KRT16,0,0,0,0,0.0707224,0
KRT16P1,0,0,0,0,0,0
KRT16P2,0,0,0,0,0,0
KRT16P3,0,0,0,0,0,0
KRT16P4,0,0,0,0,0,0
KRT16P5,0,0,0,0,0,0
KRT16P6,0,0,0,0,0,0
KRT17,0.11955,0.143156,0.120423,0.439465,0.101846,0.236881
KRT17P1,0,0,0,0.125346,0,0
KRT17P2,0,0,0,0,0,0
KRT17P3,0,0,0,0,0,0
KRT17P4,0,0,0,0,0,0
KRT17P5,0.301269,0.288452,0.532788,0.071637,0.266327,0.233073
KRT17P6,0.158313,0,0.10898,0,0,0
KRT17P7,0,0.315098,0.193567,0.132303,0.266327,0.233073
KRT17P8,0.182388,0,0,0,0.0755251,0
KRT18,43.9105,42.0382,40.231,37.5062,40.2978,40.5303
KRT18P10,0,0,0,0,0,0
KRT18P1,0.0546474,0,0.0533646,0,0,0
KRT18P11,0,0,0,0,0,0
KRT18P12,0.0575034,0.0520899,0,0.051401,0,0
KRT18P13,0,0,0.110946,0.0506233,0,0.0541432
KRT18P14,0,0,0,0,0,0
KRT18P15,0.283659,0.102519,0.331604,0.354048,0,0.1079
KRT18P16,0.0564355,0,0.16536,0,0,0
KRT18P17,0.746446,0.831032,0.726245,1.02383,1.41676,0.70992
KRT18P18,0.114388,0,0,0,0,0
KRT18P19,0,0.106567,0,0,0,0.113736
KRT18P2,0,0,0,0,0,0
KRT18P20,0,0,0,0,0,0
KRT18P21,0,0,0,0,0,0
KRT18P22,0,0,0,0,0,0
KRT18P23,0,0,0,0,0,0
KRT18P24,0,0,0,0,0,0
KRT18P25,0,0,0,0,0,0
KRT18P26,0,0,0,0,0,0
KRT18P28,0,0,0,0,0,0
KRT18P29,0,0,0,0,0,0
KRT18P3,0,0,0,0,0,0
KRT18P31,0.169606,0.102428,0.165655,0.101067,0.0932493,0
KRT18P32,0,0,0,0,0,0
KRT18P33,0,0,0,0,0.0599368,0
KRT18P34,0.0576592,0,0.056403,0,0,0
KRT18P35,0,0,0,0,0,0
KRT18P36,0,0,0,0,0,0
KRT18P37,0.114082,0.206685,0,0,0,0
KRT18P38,0,0,0,0,0,0
KRT18P39,0,0,0,0,0,0
